Final Round Count,Occurrences
Total Rounds,1033959
Games,97101
South 4-0,52174
South 4-1,13501
South 4-2,4766
South 3-0,2934
South 2-0,2484
South 1-0,2017
South 4-3,1649
East 4-0,1572
West 1-0,1369
South 3-1,1245
South 2-1,1143
South 1-1,1029
East 3-0,896
East 4-1,827
South 4-4,663
South 3-2,549
South 2-2,548
East 3-1,548
West 2-0,540
South 1-2,474
East 4-2,468
East 2-0,372
West 1-1,349
East 3-2,327
East 2-1,308
South 2-3,297
South 3-3,239
South 1-3,235
South 4-5,223
West 3-0,217
East 4-3,214
East 2-2,210
East 3-3,198
West 4-0,166
East 1-2,159
West 2-1,156
East 1-1,145
East 2-3,130
South 3-4,116
South 2-4,107
South 1-4,106
East 4-4,101
East 1-3,94
West 1-2,87
East 3-4,86
East 2-4,85
South 4-6,77
West 3-1,63
East 4-5,58
South 2-5,57
South 1-5,53
East 3-5,51
East 1-4,51
South 3-5,45
East 1-0,42
West 4-1,39
East 2-5,36
West 2-2,33
West 1-3,30
East 1-5,29
South 4-7,24
East 3-6,24
East 4-6,23
South 3-6,20
South 1-6,19
South 2-6,18
West 3-2,15
South 4-8,14
East 2-6,12
East 3-7,11
West 4-2,11
West 2-3,11
South 3-7,10
South 2-7,8
East 1-6,8
South 1-7,7
East 1-7,7
South 3-8,7
East 4-7,7
South 2-8,5
West 1-4,5
East 4-8,5
West 3-3,5
East 2-7,4
East 3-8,4
West 1-5,4
South 1-8,4
East 2-9,3
South 3-9,3
South 4-9,2
West 2-4,2
South 4-11,2
West 4-3,2
East 3-12,1
South 2-10,1
West 2-5,1
East 1-8,1
West 1-8,1
East 4-11,1
East 2-8,1
West 4-5,1
